sales_rep_key,first_name,last_name,job_title,team,email,phone_number
1,Adam,Anderson,Sales Manager,A,adama@gmail.com,4341728463
2,Barbara,Blake,Sales Manager,B,barbarab@gmail.com,4342617564
3,Cody,Covington,Sales Representative,A,codyc@gmail.com,4342672819
4,Dave,Douglass,Sales Representative,B,daved@gmail.com,4341675830
5,Evan,Earhart,Sales Representative,A,evane@gmail.com,4341529805
6,Frank,Falconer,Sales Representative,B,frankf@gmail.com,4341678923
7,Grace,Gaetz,Sales Representative,A,graceg@gmail.com,4347869041
8,Hailey,Harrington,Sales Representative,B,haileyh@gmail.com,4345618953
9,Igor,Irvin,Sales Representative,A,igori@gmail.com,4347759109
10,James,Johnson,Sales Representative,B,jamesj@gmail.com,4347859016
